threshold,precision,recall,f1
0.3485,0.7168,0.9557,0.8192
0.3504,0.718,0.9557,0.82
0.3512,0.7175,0.9534,0.8188
0.3515,0.7188,0.9534,0.8196
0.3515,0.7201,0.9534,0.8205
0.3525,0.7213,0.9534,0.8213
0.3526,0.7226,0.9534,0.8221
0.3527,0.7239,0.9534,0.8229
0.3533,0.7252,0.9534,0.8238
0.3538,0.7265,0.9534,0.8246
0.3549,0.7278,0.9534,0.8254
0.355,0.7291,0.9534,0.8263
0.3562,0.7304,0.9534,0.8271
0.3566,0.733,0.9534,0.8288
0.3566,0.7343,0.9534,0.8296
0.3574,0.7356,0.9534,0.8305
0.3594,0.7351,0.951,0.8293
0.3598,0.7365,0.951,0.8301
0.361,0.7378,0.951,0.831
0.3613,0.7391,0.951,0.8318
0.3616,0.7405,0.951,0.8327
0.3617,0.7395,0.9464,0.8303
0.3618,0.7409,0.9464,0.8311
0.3624,0.7422,0.9464,0.832
0.3634,0.7436,0.9464,0.8328
0.3644,0.745,0.9464,0.8337
0.3659,0.7463,0.9464,0.8345
0.3661,0.7477,0.9464,0.8354
0.3668,0.7491,0.9464,0.8363
0.3709,0.7505,0.9464,0.8371
0.3711,0.7519,0.9464,0.838
0.3717,0.7532,0.9464,0.8388
0.3724,0.7523,0.9417,0.8364
0.3741,0.7537,0.9417,0.8373
0.3746,0.7533,0.9394,0.8361
0.3746,0.7547,0.9394,0.837
0.3754,0.7561,0.9394,0.8378
0.3762,0.7575,0.9394,0.8387
0.3782,0.7589,0.9394,0.8396
0.3783,0.7604,0.9394,0.8405
0.3786,0.7618,0.9394,0.8413
0.3789,0.7633,0.9394,0.8422
0.38,0.7662,0.9394,0.844
0.3804,0.7676,0.9394,0.8449
0.3807,0.7691,0.9394,0.8458
0.3809,0.7706,0.9394,0.8466
0.3814,0.772,0.9394,0.8475
0.3821,0.7735,0.9394,0.8484
0.3827,0.775,0.9394,0.8493
0.3833,0.7746,0.9371,0.8481
0.3834,0.7761,0.9371,0.849
0.3861,0.7776,0.9371,0.8499
0.3864,0.7791,0.9371,0.8508
0.3868,0.7806,0.9371,0.8517
0.3871,0.7821,0.9371,0.8526
0.3888,0.7836,0.9371,0.8535
0.3888,0.7852,0.9371,0.8544
0.3892,0.7867,0.9371,0.8553
0.3892,0.7863,0.9347,0.8541
0.3897,0.7878,0.9347,0.855
0.3904,0.7894,0.9347,0.8559
0.3935,0.789,0.9324,0.8547
0.3937,0.7905,0.9324,0.8556
0.3948,0.7921,0.9324,0.8565
